gender,age,debt,married,bankCustmer,eductionalLevel,enthnicity,priorDefault,employed,creditScore,DriverLicense,citizen,ZipCode,income,Approvalstatus
1,20,4,s,g,q,h,1,1,6,f,g,125,560,
0,22,0,n,g,w,h,1,0,0,f,g,280,824,1
1,20,1,s,g,q,v,1,1,5,t,s,100,231,0
1,13,5,s,g,w,v,1,0,0,f,s,46,654,1
0,39,3,n,g,q,h,1,0,0,f,g,126,213,
0,71,2,n,g,q,v,1,0,0,f,g,254,558,1
0,30,5,s,g,w,v,0,0,0,t,g,56,64,1
1,16,5,n,g,w,h,0,1,0,f,s,426,542,1
1,22,3,s,g,q,v,1,0,0,t,s,253,258,
1,20,2,s,g,w,v,0,1,0,f,g,55,213,1
0,26,4,n,g,q,h,1,0,6,f,g,316,24,1
0,25,6,s,g,w,v,1,0,0,t,g,351,581,1
1,30,2,s,g,w,h,0,1,5,f,s,123,85,
1,16,5,n,g,q,v,0,1,0,f,g,234,132,1
0,38,0,n,g,w,v,1,1,0,t,g,58,248,
1,56,3,s,g,w,h,1,0,0,f,s,391,579,1
0,10,2,n,g,q,v,0,0,0,t,s,58,129,1
1,15,4,s,g,w,h,0,1,0,f,g,99,133,1
0,18,5,n,g,w,h,1,0,0,f,g,265,79,0
1,14,4,n,g,q,v,1,1,6,t,g,453,589,1
0,21,0,s,g,w,v,0,1,0,f,s,482,58,1
1,33,5,s,g,q,h,1,0,5,f,s,56,666,1
0,88,2,n,g,w,h,1,0,0,f,g,258,587,
1,14,4,n,g,w,v,1,0,0,t,g,369,478,0
1,66,1,n,g,w,h,0,0,0,f,s,147,33,1
1,18,5,s,g,q,v,0,1,0,t,g,15,89,1
0,19,5,s,g,q,h,1,0,0,f,g,591,89,
0,24,1,s,g,w,v,0,1,0,f,g,357,79,
1,21,5,s,g,w,h,0,1,6,t,s,456,333,1
0,26,5,n,g,q,h,1,0,0,f,s,321,123,
1,30,2,n,g,q,v,1,0,5,t,g,55,65,0
1,30,3,s,g,w,v,0,0,0,f,s,91,87,
0,12,7,n,g,w,h,1,1,0,f,s,375,560,1
1,27,5,n,g,q,h,0,0,0,t,g,55,824,1
1,33,5,n,g,q,h,1,1,0,t,g,88,765,0
